Solid,,Powder,,Powder ,ISOTROPIC
20,6.2,20,0.63,20,2.7
100,6.635068493,100,0.828356164,100,2.8348
200,7.17890411,200,1.07630137,200,3.0033
300,7.722739726,300,1.324246575,300,3.1718
400,8.266575342,400,1.572191781,400,3.3403
500,8.810410959,500,1.820136986,500,3.5088
600,9.354246575,600,2.068082192,600,3.6773
700,9.898082192,700,2.316027397,700,3.8458
750,10.17,750,2.44,750,3.93
800,10.44191781,800,2.563972603,800,4.0142
900,10.98575342,900,2.811917808,900,4.1827
995,10.50239726,995,2.747465753,995,3.9428
1100,12.07342466,1100,3.307808219,1100,4.5197
1200,12.61726027,1200,3.555753425,1200,4.6882
1300,13.16109589,1300,3.80369863,1300,4.8567
1400,13.70493151,1400,4.051643836,1400,5.0252
1500,14.24876712,1500,4.299589041,1500,5.1937
1600,14.79260274,1600,4.547534247,1600,5.3622
1650,15.06452055,1650,4.671506849,1650,5.4464
1655,15.0917,1655,15.0917,1655,15.0917
